City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Broome,US,42.2506,-75.833,24.91,76,0,1.01,clear sky
80,Kodarma,IN,24.4667,85.6,51.31,66,20,2.68,few clouds
81,Valdosta,US,30.8327,-83.2785,43.21,96,100,9.22,mist
82,Ostrovnoy,RU,68.0531,39.5131,12.81,88,90,20.83,overcast clouds
83,Tarakan,ID,3.3,117.6333,78.3,94,40,3.44,scattered clouds
84,Kedrovyy,RU,56.1667,91.8167,19.81,86,100,4.54,overcast clouds
85,Caledon,ZA,-34.23,19.4265,62.17,91,27,2.44,scattered clouds
86,Ginir,ET,7.1333,40.7,57.85,23,74,4.59,broken clouds
87,Sept-Iles,CA,50.2001,-66.3821,3.06,70,100,1.99,overcast clouds
88,New Norfolk,AU,-42.7826,147.0587,70.92,43,1,1.99,clear sky
89,Bethel,US,41.3712,-73.414,27.0,72,0,4.61,clear sky
90,Te Anau,NZ,-45.4167,167.7167,61.68,51,48,2.37,scattered clouds
91,Rochelle,FR,46.25,-1.0,51.89,93,100,19.57,overcast clouds
92,Aklavik,CA,68.2191,-135.0107,-22.97,91,100,19.15,overcast clouds
93,Kapaa,US,22.0752,-159.319,78.78,73,100,4.0,overcast clouds
94,Faanui,PF,-16.4833,-151.75,81.66,74,94,20.27,overcast clouds
95,Guerrero Negro,MX,27.9769,-114.0611,66.2,28,0,11.32,clear sky
96,Mwene-Ditu,CD,-7.0,23.45,64.96,95,100,0.43,light rain
97,Ilulissat,GL,69.2167,-51.1,1.42,71,20,10.36,few clouds
98,Acarau,BR,-2.8856,-40.12,79.81,79,33,14.07,scattered clouds
99,Shimoda,JP,34.6667,138.95,44.1,81,79,1.74,broken clouds
100,Pyapon,MM,16.2833,95.6833,66.65,61,61,8.14,broken clouds
101,Leningradskiy,RU,69.3833,178.4167,-24.29,99,30,3.13,scattered clouds
102,Saldanha,ZA,-33.0117,17.9442,64.45,97,20,10.47,few clouds
103,Kruisfontein,ZA,-34.0033,24.7314,68.88,64,83,2.35,broken clouds
104,Dingle,PH,10.9995,122.6711,78.17,81,90,11.21,overcast clouds
105,Jamestown,US,42.097,-79.2353,31.59,47,0,5.99,clear sky
106,Sohbatpur,PK,28.5202,68.5434,60.57,35,58,6.06,broken clouds
107,Salamiyah,SY,35.0113,37.0532,48.88,84,100,6.15,overcast clouds
108,Namatanai,PG,-3.6667,152.4333,85.14,65,41,5.66,scattered clouds
109,Matara,LK,5.9485,80.5353,74.34,88,94,4.54,overcast clouds
110,Chokurdakh,RU,70.6333,147.9167,-41.22,100,85,2.62,overcast clouds
111,Yulara,AU,-25.2406,130.9889,82.24,30,0,9.22,clear sky
112,San Vicente,AR,-26.6167,-54.1333,65.55,51,0,2.73,clear sky
113,Hatillo,PR,18.4863,-66.8254,73.85,95,44,3.0,scattered clouds
114,Morris,US,40.8334,-74.5329,27.48,78,0,3.0,clear sky
115,Wuan,CN,31.6836,112.0044,30.74,93,100,11.16,light snow
116,Skibbereen,IE,51.55,-9.2667,50.11,94,82,8.3,broken clouds
117,Muncar,ID,-8.4333,114.3333,78.96,85,85,3.13,overcast clouds
118,Okhotsk,RU,59.3833,143.3,-3.42,73,97,8.84,overcast clouds
119,Vardo,NO,70.3705,31.1107,23.25,81,78,19.48,broken clouds
120,Hithadhoo,MV,-0.6,73.0833,81.99,72,31,14.14,scattered clouds
121,Saskylakh,RU,71.9167,114.0833,-23.35,100,97,2.95,overcast clouds
122,Avarua,CK,-21.2078,-159.775,82.45,78,20,13.8,few clouds
123,Ponta Do Sol,PT,32.6667,-17.1,63.23,65,11,10.27,few clouds
124,Tasiilaq,GL,65.6145,-37.6368,23.16,58,100,49.26,overcast clouds
125,Lazaro Cardenas,MX,17.9583,-102.2,81.55,55,12,9.86,few clouds
126,Mahebourg,MU,-20.4081,57.7,79.09,83,40,8.05,scattered clouds
127,Coquimbo,CL,-29.9533,-71.3436,65.8,80,16,2.86,few clouds
128,Bosobolo,CD,4.1833,19.9,73.35,29,84,1.61,broken clouds
129,Flinders,AU,-34.5833,150.8552,72.18,70,68,11.99,broken clouds
130,Port Alfred,ZA,-33.5906,26.891,74.84,79,91,6.38,overcast clouds
131,Huarmey,PE,-10.0681,-78.1522,71.73,77,54,7.7,broken clouds
132,Asfi,MA,32.2994,-9.2372,56.57,78,19,13.11,few clouds
133,Fomboni,KM,-12.28,43.7425,82.8,72,44,2.04,scattered clouds
134,Pimentel,PE,-6.8367,-79.9342,70.88,80,50,14.09,scattered clouds
135,Aitape,PG,-3.1374,142.3475,80.73,82,100,2.66,overcast clouds
136,Beira,MZ,-19.8436,34.8389,77.09,88,75,12.66,broken clouds
137,Houma,US,29.5958,-90.7195,53.01,44,0,4.61,clear sky
138,Kaitangata,NZ,-46.2817,169.8464,59.94,77,6,6.22,clear sky
139,Unai,BR,-16.3575,-46.9061,69.24,96,100,1.19,overcast clouds
140,Pandan,PH,14.0453,124.1694,77.65,85,90,16.62,overcast clouds
141,Bonavista,CA,48.6499,-53.1147,14.11,64,97,21.25,overcast clouds
142,Hasaki,JP,35.7333,140.8333,37.29,40,4,11.74,clear sky
143,Dolores,AR,-36.3132,-57.6792,60.4,89,88,10.27,overcast clouds
144,Tocopilla,CL,-22.092,-70.1979,70.02,65,10,5.06,clear sky
145,Galle,LK,6.0367,80.217,77.31,78,82,2.62,broken clouds
146,College,US,64.8569,-147.8028,-1.71,77,100,3.44,light snow
147,Warri,NG,5.5167,5.75,75.92,85,0,3.29,clear sky
148,Bathsheba,BB,13.2167,-59.5167,79.41,78,75,17.27,broken clouds
149,Raudeberg,NO,61.9875,5.1352,38.19,90,90,5.99,overcast clouds
150,Cap Malheureux,MU,-19.9842,57.6142,79.29,83,90,5.99,overcast clouds
151,Ashington,GB,50.9331,-0.3909,43.68,73,18,5.99,few clouds
152,Ulaanbaatar,MN,47.9077,106.8832,-18.27,76,16,0.0,few clouds
153,Orsha,BY,54.5153,30.4053,31.23,94,98,16.13,overcast clouds
154,Kargasok,RU,59.0556,80.8572,-7.11,100,92,4.41,overcast clouds
155,Kudahuvadhoo,MV,2.6708,72.8944,81.12,65,73,10.94,broken clouds
156,Skegness,GB,53.1436,0.3363,39.58,67,22,24.72,few clouds
157,Teguise,ES,29.0605,-13.564,61.02,82,0,17.27,clear sky
158,Sibolga,ID,1.7427,98.7792,74.89,87,96,2.98,overcast clouds
159,Manadhoo,MV,5.7667,73.3833,79.77,74,67,7.05,broken clouds
160,Khatanga,RU,71.9667,102.5,-15.41,98,99,9.26,overcast clouds
161,Eureka,US,40.8021,-124.1637,53.13,82,2,1.01,clear sky
162,Port-Gentil,GA,-0.7193,8.7815,79.68,83,16,11.21,few clouds
163,Carnarvon,AU,-24.8667,113.6333,73.47,46,14,20.71,few clouds
164,Meadow Lake,US,34.8014,-106.5436,40.12,53,83,7.83,broken clouds
165,Japura,ID,-0.3167,102.35,72.54,98,98,2.44,overcast clouds
166,Daru,PG,-9.0763,143.2092,84.04,71,100,5.66,overcast clouds
167,Samarai,PG,-10.6167,150.6667,85.23,66,100,9.62,overcast clouds
168,Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,36,4.0,scattered clouds
169,Snezhnogorsk,RU,69.1933,33.2531,6.58,95,77,10.56,broken clouds
170,Kannauj,IN,27.0546,79.922,49.95,75,0,0.76,clear sky
171,Koslan,RU,63.4564,48.8989,15.03,95,100,6.98,overcast clouds
172,Taltal,CL,-25.4,-70.4833,67.59,73,22,3.51,few clouds
173,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-7.4,99,96,4.88,overcast clouds
174,Coihaique,CL,-45.5752,-72.0662,77.61,46,0,3.44,clear sky
175,Pevek,RU,69.7008,170.3133,-23.33,98,21,0.81,few clouds
176,Axim,GH,4.8699,-2.2405,78.39,87,85,6.73,overcast clouds
177,Jaslo,PL,49.7451,21.4725,40.89,80,100,14.56,overcast clouds
178,Hami,CN,42.8,93.45,24.51,37,30,7.25,scattered clouds
179,Havelock,US,34.8791,-76.9013,46.02,81,65,3.0,broken clouds
180,Morant Bay,JM,17.8815,-76.4093,76.62,78,4,7.05,clear sky
181,Mar Del Plata,AR,-38.0023,-57.5575,66.09,80,75,4.0,broken clouds
182,Barrow,US,71.2906,-156.7887,-25.58,68,0,12.66,clear sky
183,San Cristobal,VE,7.7669,-72.225,69.98,75,81,1.25,broken clouds
184,Yeppoon,AU,-23.1333,150.7333,80.38,60,7,14.2,clear sky
185,Calamar,CO,10.2511,-74.9146,78.75,68,4,13.2,clear sky
186,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,8.05,clear sky
187,Laguna De Perlas,NI,12.3429,-83.6712,77.14,71,3,9.91,clear sky
188,Victoria,HK,22.2855,114.1577,62.96,90,100,1.01,overcast clouds
189,Antalaha,MG,-14.9003,50.2788,75.33,88,97,3.76,overcast clouds
190,Bari Sadri,IN,24.4167,74.4667,46.74,36,0,4.27,clear sky
191,Ossora,RU,59.2353,163.0719,10.11,80,100,10.78,overcast clouds
192,Coos Bay,US,43.3665,-124.2179,64.85,51,0,3.44,clear sky
